year,state,population,%,male,female,sex ratio,urban pop.,rural pop.,area(sq km),pop. Density 
2021,Jharkhand,38471,2.82,19701,18770,953,"9,938",28533,79714,483
2021,Odisha,45696,3.35,23003,22693,987,"8,439",37257,160205,285
2021,Chhattisgarh,29493,2.16,14794,14698,994,"7,810",21683,135191,218
2021,Madhya Pradesh,84516,6.2,43609,40907,938,"24,318",60198,308245,274
2021,Gujarat,69788,5.12,36600,33188,907,"33,315",36473,196024,356
2021,Maharashtra,124437,9.13,64702,59735,923,"59,710",64727,307713,404
2021,Andhra Pradesh,52787,3.87,26403,26384,999,"18,618",34169,160205,329
2021,Karnataka,66845,4.9,33911,32934,971,"29,044",37801,191791,349
2021,Kerala,35489,2.6,17043,18447,1082,"25,200",10289,38863,913
2021,Tamil Nadu,76402,5.61,38165,38237,1002,"40,334",36068,130058,587
2021,Telangana,37725,2.77,18978,18747,988,"17,514",20211,112077,337
